# client -> server. opcode  sender_va  sender_name (from the sender's own log string)
0x2e32  1806098d0  send_eSUB_CMD_FORCE_MATCHING_CHECK
0x3203  1805fb780  send_eSUB_CMD_WEEKLY_MISSION_REWARD : %d %d
0x3204  1805fb8e0  send_eSUB_CMD_WEEKLY_MISSION_REWARD_WEEK : %d
0x3301  1805fed70  send_eSUB_CMD_MODE_MAZE_MATCHING_ENTER
0x3303  1805fee00  send_eSUB_CMD_MODE_MAZE_MATCHING_EXIT
0x3322  180608680  send_eSUB_CMD_MODE_MAZE_ROGUELIKE_SELECT_POCKET
0x3327  180608710  send_eSUB_CMD_MODE_MAZE_ROGUELIKE_SHOP_BUY
0x3331  1805fef10  ?
0x3332  1805fefa0  ?
0x3336  1805fee80  send_eSUB_CMD_MODE_MAZE_PVP_SKILL_EXCLUDE
0x333a  1805ff020  ?
0x3341  1805ff0f0  send_eSUB_CMD_MODE_MAZE_PVP_FRIENDLY_ACCEPT
0x3342  1805ff200  send_eSUB_CMD_MODE_MAZE_PVP_FRIENDLY_CANCEL
0x3401  1805f6300  send_eSUB_CMD_RESTART_UPDATE : %d[%s]
0x3402  1805f6410  send_eSUB_CMD_RESTART_START : %d
0x3403  1805f64b0  send_eSUB_CMD_NEXT_EPISODE_START
0x4102  180608e10  send_eSUB_CMD_PET_EQUIP
0x4103  180608ea0  send_eSUB_CMD_PET_ADD
0x4104  180608f70  send_eSUB_CMD_PET_EQUIP_ITEM
0x4105  180609000  send_eSUB_CMD_PET_NAME_UPDATE
0x4106  180609090  send_eSUB_CMD_PET_ITEM_COMBINE
0x4108  180609120  send_eSUB_CMD_PET_RANKUP
0x4109  1806091f0  send_eSUB_CMD_PET_SKIN_UPDATE
0x4114  1806092d0  send_eSUB_CMD_PET_CONVERT_PIECE
0x4115  1806093a0  send_eSUB_CMD_PET_DISPATCH_START
0x4116  180609430  send_eSUB_CMD_PET_DISPATCH_CANCEL
0x4117  180609500  send_eSUB_CMD_PET_DISPATCH_REWARD
0xf101  1805fd520  send_eSUB_CMD_CHANNEL_INFO
0xf102  1805fd4a0  ?
